OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,Workers,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
"47888","060371096012","060371096012","06","037","109601","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",70.4047204,0,70.4047204,70.40472,"1125","384","335","525",-0,0.279111564967195,166.707003924129,670.56,4,1,18,14,11.5,2247.52333595252,284922.515695424
"47889","060371096014","060371096014","06","037","109601","4","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",185.7915248,2.5211613,183.2703635,104.774,"1748","460","460","532",0.544810501446866,0.152775612339286,69.8666153952382,590.09,2,10,11,15,10.6666666666667,4419.30489510259,751887.819930138
"47890","060371097003","060371097003","06","037","109700","3","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",101.2175962,0,101.2175962,101.2175962,"1057","288","288","474",0.579736489590793,0.498768511842607,115.945057387166,462.69,10,11,15,16,13.8333333333333,2831.95187590226,409620.603431391
"47891","060371233013","060371233013","06","037","123301","3","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",51.1610666,0,51.1610666,39.82725,"822","212","212","345",0.537766171833457,0.710347301569123,246.099638587285,434.52,16,9,20,16,16.1666666666667,1833.16032740259,207045.708989519
"47892","060371098002","060371098002","06","037","109800","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",70.5870802,0,70.5870802,70.5870802,"1342","366","366","432",0.449767364532939,0.281675561505664,93.7146001967652,300.41,4,7,14,18,12.5,2219.03999384728,285661.331757319
"47893","060371131012","060371131012","06","037","113101","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",288.6412165,0,288.6412165,288.64122,"2139","647","597","916",0.868459068194755,0.810200118588269,128.642473345452,641.06,19,20,16,14,16.5,4616.41930851484,1168114.41011855
"47894","060371096042","060371096042","06","037","109604","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",80.8271513,0,80.8271513,80.8271513,"1130","270","270","429",0.686875963428489,0.60743876019436,190.090579129442,278.95,13,15,19,18,17,2416.49043190934,327102.339247929
"47895","060371192012","060371192012","06","037","119201","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",67.8161008,0.5240991,67.2920017,67.2920017,"1202","309","295","473",0.468617091612439,0.436879310401856,117.334598474279,771.14,8,7,16,14,12.5,2125.9492210907,274448.102484954
"47896","060371218011","060371218011","06","037","121801","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",80.0107329,0,80.0107329,80.0107329,"1927","844","734","1215",0.753931504305763,0.392132614500732,88.0121921742827,248.11,7,17,13,18,14.3333333333333,2408.50903306125,323798.223145576
"47897","060371249021","060371249021","06","037","124902","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",83.6638593,0,83.6638593,83.6638593,"2654","1577","1511","1565",0.722684672702244,0.509114036719839,119.885456921541,513.65,10,16,16,15,14.6666666666667,2451.69216456706,338585.070649855
"47898","060371899031","060371899031","06","037","189903","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",20.7484928,0,20.7484928,20.7484928,"2009","1623","1487","1241",0.626159399649094,0.25784290839158,154.258915616271,143.5,4,13,18,20,15.5,1261.61355264908,83967.845099372
"47899","060371941011","060371941011","06","037","194101","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",628.3145134,0,628.3145134,349.42762,"3343","1918","1617","1849",0.562685115148538,0.433248276169616,66.2353632017821,934.76,8,10,11,13,11,10335.8680949802,2542754.43963126
"47900","060372111221","060372111221","06","037","211122","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",60.7263076,0,60.7263076,60.7263076,"1330","471","444","429",0.779164160554549,0.834210549178163,144.090433715091,317.85,19,18,17,17,17.5,2872.44983232278,245756.385030907
"47901","060371132132","060371132132","06","037","113213","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",101.871917,0.0059304,101.8659866,101.8659866,"1992","693","693","989",0.857348599940867,0.483005664920905,58.6621717361347,402.34,10,20,10,16,13.6666666666667,2737.45071799196,412270.168261739
"47902","060379010103","060379010103","06","037","901010","3","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",172.3011003,0,172.3011003,148.6171792783,"2043","545","490","665",-0,0.433858663400723,90.4240307976722,-99999,8,1,13,1,6.16666666666667,3338.85467415403,697291.450663212
"47903","060371132312","060371132312","06","037","113231","2","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",138.8163322,4.4730042,134.343328,134.34333,"638","222","222","291",0.499380481391024,0.564273782726122,146.152103660853,920.01,12,8,17,13,13.3333333333333,3075.29325035952,561781.871854341
"47904","060371132321","060371132321","06","037","113232","1","348","Los Angeles-Long Beach, CA","31080","Los Angeles-Long Beach-Anaheim, CA",286.173923,0,286.173923,278.72018,"2123","794","765","992",0.299227649405069,0.293092278070702,110.368686527738,721.52,5,4,15,14,11.1666666666667,6460.74411370921,1158128.22474928
